time_of_day,mean_steps,median_steps,mean_intensity,median_intensity,mean_calories,median_calories
Afternoon,457.4228064300067,196.5,0.2807853273610181,0.166667,110.30592766242465,91
Evening,423.8072076612903,147,0.26268061239919355,0.15,107.08719758064517,86
Morning,344.84294924780954,31,0.20971235923293105,0.05,98.34881798644405,80
Night,48.66460778258184,0,0.04422072662137122,0,73.09919703520691,69
