id,sleep_date,sleep_minutes,sleep_hours
3977333714,2016-04-02,199,3.316666666666667
3977333714,2016-04-03,222,3.7
3977333714,2016-04-04,205,3.4166666666666665
3977333714,2016-04-05,378,6.3
3977333714,2016-04-06,296,4.933333333333334
3977333714,2016-04-07,221,3.683333333333333
3977333714,2016-04-08,305,5.083333333333333
3977333714,2016-04-09,273,4.55
3977333714,2016-04-10,293,4.883333333333334
3977333714,2016-04-11,282,4.7
4020332650,2016-03-12,384,6.4
4020332650,2016-03-13,505,8.416666666666666
4020332650,2016-03-14,265,4.416666666666667
4020332650,2016-03-15,331,5.516666666666667
4020332650,2016-03-16,459,7.65
4020332650,2016-03-17,374,6.233333333333333
4020332650,2016-03-30,366,6.1
4020332650,2016-03-31,259,4.316666666666666
4020332650,2016-04-01,429,7.15
4020332650,2016-04-02,499,8.316666666666666
4020332650,2016-04-03,387,6.45
4020332650,2016-04-04,463,7.716666666666667
4020332650,2016-04-06,245,4.083333333333333
4020332650,2016-04-10,74,1.2333333333333334
4020332650,2016-04-11,426,7.1
4319703577,2016-03-11,78,1.3
4319703577,2016-03-12,503,8.383333333333333
4319703577,2016-03-13,364,6.066666666666666
4319703577,2016-03-14,94,1.5666666666666667
4319703577,2016-03-15,458,7.633333333333334
4319703577,2016-03-16,496,8.266666666666667
4319703577,2016-03-17,495,8.25
4319703577,2016-03-18,481,8.016666666666667
4319703577,2016-03-19,473,7.883333333333334
4319703577,2016-03-20,450,7.5
4319703577,2016-03-21,428,7.133333333333334
4319703577,2016-03-22,63,1.05
4319703577,2016-03-23,490,8.166666666666666
4319703577,2016-03-24,412,6.866666666666666
4319703577,2016-03-25,519,8.65
4319703577,2016-03-26,489,8.15
4319703577,2016-03-27,583,9.716666666666667
4319703577,2016-03-28,498,8.3
4319703577,2016-03-29,514,8.566666666666666
4319703577,2016-03-30,454,7.566666666666666
4319703577,2016-03-31,38,0.6333333333333333
4319703577,2016-04-01,466,7.766666666666667
4319703577,2016-04-02,529,8.816666666666666
4319703577,2016-04-03,568,9.466666666666667
4319703577,2016-04-04,473,7.883333333333334
4319703577,2016-04-05,507,8.45
4319703577,2016-04-06,901,15.016666666666667
4319703577,2016-04-07,433,7.216666666666667
4445114986,2016-03-12,361,6.016666666666667
4445114986,2016-03-13,348,5.8
4445114986,2016-03-15,487,8.116666666666667
4445114986,2016-03-16,388,6.466666666666667
4445114986,2016-03-17,217,3.6166666666666667
4445114986,2016-03-19,137,2.283333333333333
4445114986,2016-03-20,539,8.983333333333333
4445114986,2016-03-21,195,3.25
4445114986,2016-03-22,344,5.733333333333333
4445114986,2016-03-24,380,6.333333333333333
4445114986,2016-03-25,325,5.416666666666667
4445114986,2016-03-26,156,2.6
4445114986,2016-03-27,318,5.3
4445114986,2016-03-28,359,5.983333333333333
4445114986,2016-03-29,442,7.366666666666666
4445114986,2016-03-31,360,6
4445114986,2016-04-01,311,5.183333333333334
4445114986,2016-04-02,469,7.816666666666666
4445114986,2016-04-05,465,7.75
4445114986,2016-04-06,431,7.183333333333334
4445114986,2016-04-07,262,4.366666666666666
4445114986,2016-04-08,219,3.65
4445114986,2016-04-09,391,6.516666666666667
4445114986,2016-04-10,347,5.783333333333333
4445114986,2016-04-11,395,6.583333333333333
4445114986,2016-04-12,308,5.133333333333334
4558609924,2016-03-30,96,1.6
4558609924,2016-03-31,190,3.1666666666666665
4558609924,2016-04-02,86,1.4333333333333333
4558609924,2016-04-03,274,4.566666666666666
4702921684,2016-03-11,119,1.9833333333333334
4702921684,2016-03-12,454,7.566666666666666
4702921684,2016-03-13,281,4.683333333333334
4702921684,2016-03-14,437,7.283333333333333
4702921684,2016-03-15,453,7.55
4702921684,2016-03-16,461,7.683333333333334
4702921684,2016-03-17,446,7.433333333333334
4702921684,2016-03-18,345,5.75
4702921684,2016-03-21,99,1.65
4702921684,2016-03-22,428,7.133333333333334
4702921684,2016-03-23,429,7.15
4702921684,2016-03-24,428,7.133333333333334
4702921684,2016-03-25,458,7.633333333333334
4702921684,2016-03-26,404,6.733333333333333
4702921684,2016-03-27,563,9.383333333333333
4702921684,2016-03-28,419,6.983333333333333
4702921684,2016-03-29,413,6.883333333333334
4702921684,2016-03-30,421,7.016666666666667
4702921684,2016-03-31,420,7
4702921684,2016-04-01,454,7.566666666666666
4702921684,2016-04-02,538,8.966666666666667
4702921684,2016-04-03,558,9.3
4702921684,2016-04-04,419,6.983333333333333
4702921684,2016-04-05,404,6.733333333333333
4702921684,2016-04-06,454,7.566666666666666
4702921684,2016-04-07,448,7.466666666666667
4702921684,2016-04-08,345,5.75
4702921684,2016-04-09,425,7.083333333333333
4702921684,2016-04-10,533,8.883333333333333
4702921684,2016-04-11,329,5.483333333333333
5553957443,2016-03-12,707,11.783333333333333
5553957443,2016-03-13,756,12.6
5553957443,2016-03-14,273,4.55
5553957443,2016-03-15,378,6.3
5553957443,2016-03-16,319,5.316666666666666
5553957443,2016-03-17,311,5.183333333333334
5553957443,2016-03-18,105,1.75
5553957443,2016-03-21,144,2.4
5553957443,2016-03-22,526,8.766666666666667
5553957443,2016-03-23,249,4.15
5553957443,2016-03-24,364,6.066666666666666
5553957443,2016-03-25,607,10.116666666666667
5553957443,2016-03-26,348,5.8
5553957443,2016-03-27,665,11.083333333333334
5553957443,2016-03-28,613,10.216666666666667
5553957443,2016-03-29,314,5.233333333333333
5553957443,2016-03-30,360,6
5553957443,2016-03-31,351,5.85
5553957443,2016-04-01,337,5.616666666666666
5553957443,2016-04-02,791,13.183333333333334
5553957443,2016-04-03,742,12.366666666666667
5553957443,2016-04-04,413,6.883333333333334
5553957443,2016-04-05,340,5.666666666666667
5553957443,2016-04-06,385,6.416666666666667
5553957443,2016-04-07,338,5.633333333333334
5553957443,2016-04-08,379,6.316666666666666
5553957443,2016-04-09,619,10.316666666666666
5553957443,2016-04-10,629,10.483333333333333
5553957443,2016-04-11,428,7.133333333333334
5553957443,2016-04-12,346,5.766666666666667
5577150313,2016-03-11,156,2.6
5577150313,2016-03-12,523,8.716666666666667
5577150313,2016-03-13,419,6.983333333333333
5577150313,2016-03-14,364,6.066666666666666
5577150313,2016-03-15,470,7.833333333333333
5577150313,2016-03-16,446,7.433333333333334
5577150313,2016-03-17,432,7.2
5577150313,2016-03-18,421,7.016666666666667
5577150313,2016-03-19,366,6.1
5577150313,2016-03-20,619,10.316666666666666
5577150313,2016-03-21,387,6.45
5577150313,2016-03-22,99,1.65
5577150313,2016-03-23,511,8.516666666666667
5577150313,2016-03-24,390,6.5
5577150313,2016-03-25,430,7.166666666666667
5577150313,2016-03-26,438,7.3
5577150313,2016-03-27,330,5.5
5577150313,2016-03-28,484,8.066666666666666
5577150313,2016-03-29,451,7.516666666666667
5577150313,2016-03-30,432,7.2
5577150313,2016-03-31,426,7.1
5577150313,2016-04-01,435,7.25
5577150313,2016-04-02,355,5.916666666666667
5577150313,2016-04-03,389,6.483333333333333
5577150313,2016-04-04,435,7.25
5577150313,2016-04-05,390,6.5
5577150313,2016-04-06,393,6.55
5577150313,2016-04-07,454,7.566666666666666
5577150313,2016-04-08,451,7.516666666666667
5577150313,2016-04-09,499,8.316666666666666
5577150313,2016-04-10,412,6.866666666666666
5577150313,2016-04-11,312,5.2
6117666160,2016-03-11,78,1.3
6117666160,2016-03-12,644,10.733333333333333
6117666160,2016-03-13,117,1.95
6117666160,2016-03-14,626,10.433333333333334
6117666160,2016-03-15,482,8.033333333333333
6117666160,2016-03-16,606,10.1
6117666160,2016-03-17,638,10.633333333333333
6117666160,2016-03-18,598,9.966666666666667
6117666160,2016-03-19,611,10.183333333333334
6117666160,2016-03-20,535,8.916666666666666
6117666160,2016-03-21,493,8.216666666666667
6117666160,2016-03-22,376,6.266666666666667
6117666160,2016-03-23,484,8.066666666666666
6117666160,2016-03-24,699,11.65
6117666160,2016-03-25,510,8.5
6117666160,2016-03-26,436,7.266666666666667
6117666160,2016-03-27,496,8.266666666666667
6117666160,2016-03-28,21,0.35
6117666160,2016-03-29,556,9.266666666666667
6117666160,2016-03-30,101,1.6833333333333333
6117666160,2016-03-31,589,9.816666666666666
6117666160,2016-04-01,558,9.3
6117666160,2016-04-02,454,7.566666666666666
6117666160,2016-04-05,61,1.0166666666666666
6117666160,2016-04-06,523,8.716666666666667
6117666160,2016-04-07,499,8.316666666666666
6117666160,2016-04-09,435,7.25
6775888955,2016-03-11,66,1.1
6775888955,2016-03-12,421,7.016666666666667
6775888955,2016-03-13,37,0.6166666666666667
6775888955,2016-03-14,590,9.833333333333334
6775888955,2016-03-15,119,1.9833333333333334
6775888955,2016-03-18,278,4.633333333333334
6775888955,2016-03-19,387,6.45
6775888955,2016-03-21,364,6.066666666666666
6775888955,2016-03-25,36,0.6
6775888955,2016-03-26,332,5.533333333333333
6775888955,2016-03-27,363,6.05
6775888955,2016-03-28,454,7.566666666666666
6775888955,2016-03-31,290,4.833333333333333
6775888955,2016-04-01,10,0.16666666666666666
6775888955,2016-04-02,429,7.15
6775888955,2016-04-06,441,7.35
6775888955,2016-04-07,275,4.583333333333333
6962181067,2016-03-11,23,0.38333333333333336
6962181067,2016-03-12,522,8.7
6962181067,2016-03-13,483,8.05
6962181067,2016-03-14,431,7.183333333333334
6962181067,2016-03-15,360,6
6962181067,2016-03-16,329,5.483333333333333
6962181067,2016-03-17,381,6.35
6962181067,2016-03-18,421,7.016666666666667
6962181067,2016-03-19,487,8.116666666666667
