id,avg_sleep_hours,nights_tracked
1503960366,5.934666666666667,25
1644430081,5.970833333333333,4
1844505072,5.991666666666666,4
1927972279,5.908064516129032,31
2022484408,2.25,1
2026352035,8.226767676767677,33
2347167796,6.582258064516129,31
3977333714,4.582291666666666,16
4020332650,6.073333333333333,15
4319703577,7.295833333333333,28
4445114986,5.73974358974359,26
4558609924,2.6916666666666664,4
4702921684,6.8805555555555555,30
5553957443,7.298333333333334,30
5577150313,6.8328125,32
6117666160,7.546913580246914,27
6775888955,4.796078431372549,17
6962181067,7.221212121212121,33
7007744171,1.0916666666666668,8
7086361926,6.421794871794872,26
8053475328,8.3,1
8378563200,7.097474747474748,33
8792009665,7.256944444444445,12
