id,avg_daily_steps,sd_daily_steps
1503960366,11640.526315789473,3329.6256440964294
1624580081,4226.263157894737,4413.85823719019
1644430081,9274.8,5658.118430872385
1844505072,3640.5833333333335,2867.9091673942958
1927972279,2180.8333333333335,1625.7939505659904
2022484408,12174.916666666666,3851.216560052712
2026352035,3392.75,1698.0916628540833
2320127002,3138.4166666666665,3431.623773040537
2347167796,9800.066666666668,3660.7108104977697
2873212765,6636.583333333333,4008.8663656798026
2891001357,773.625,1534.9211182616891
3372868164,6127.5,1440.5214526537102
3977333714,8663.916666666666,4796.252049225204
4020332650,5776.59375,2792.676215127762
4057192912,1887.21875,2815.607832553012
4319703577,7820.583333333333,2840.8109424257823
4388161847,0,0
4445114986,4293.066666666667,1939.7439251710766
4558609924,5785.25,2163.4804923800657
4702921684,7943.4,3191.437669765775
5553957443,8354.75,4553.592330637029
5577150313,8608.181818181818,3534.5908622691204
6117666160,8248.6,5826.192204175897
6290855005,1618.1,3479.759201439088
6391747486,1336.888888888889,3235.172616895598
6775888955,5559,5231.217831442312
6962181067,12639.714285714286,2921.019722593502
7007744171,12260.333333333334,2494.477075217946
7086361926,6103.916666666667,4619.285510637752
8053475328,14844.363636363636,6519.272724357023
8253242879,2389.9166666666665,3624.8999850361597
8378563200,8135.25,4361.089170150044
8583815059,3045.5,1665.1289096386158
8792009665,3094.9166666666665,2707.020685629174
8877689391,17417.083333333332,7871.54387604009
